group,name,ref_temperature,ref_rs,_sid,temperature,temperature_score,rs_score,lv_diff,rs_diff
A股-中国资源,石油能源,沸,97,SW_801960,温,0.6219300434286928,86.0,2,-11.0
A股-中国资源,煤炭能源,平,25,SW_801950,温,-4.686832144588545,96.0,1,71.0
A股-中国资源,金属,凉,94,SW_801050,温,1.4427365197261643,83.0,2,-11.0
A股-中国消费,白酒,平,85,SW_801125,温,4.396209190627727,73.0,1,-12.0
A股-中国消费,交通运输,温,79,SW_801170,温,3.536075226765612,70.0,0,-9.0
A股-中国消费,家用电器,温,78,SW_801110,温,2.9384945208546345,73.0,0,-5.0
A股-中国消费,证券保险,温,70,SW_801790,温,-2.447943961425685,57.0,0,-13.0
A股-中国消费,电力,温,68,SW_801161,温,0.4412229151438177,87.0,0,19.0
A股-文旅娱乐,游戏,沸,92,SW_801764,热,15.789219322922717,69.0,1,-23.0
A股-文旅娱乐,传媒电影,沸,90,SW_801766,热,14.231174239486897,34.0,1,-56.0
A股-文旅娱乐,互联网电商,沸,46,SW_801206,温,8.605411202678741,27.0,2,-19.0
A股-生命科学,化学制药,平,99,SW_801151,温,-5.841324477189844,41.0,1,-58.0
A股-生命科学,医疗器械,温,100,SW_801153,温,3.2364742138263214,50.0,0,-50.0
A股-生命科学,中药,平,81,SW_801155,温,4.093522216295914,76.0,1,-5.0
A股-生命科学,医疗服务,温,54,SW_801156,热,19.05419259841792,97.0,1,43.0
A股-生命科学,农林牧渔,温,43,SW_801010,温,0.9033971439325252,34.0,0,-9.0
A股-数字经济,软件开发,温,86,SW_801104,热,15.758923985480623,49.0,1,-37.0
A股-数字经济,计算机设备,温,62,SW_801101,温,-0.2286536766993392,74.0,0,12.0
A股-数字经济,IT服务,沸,49,SW_801103,温,8.44484803617262,40.0,2,-9.0
A股-新型消费,美容护理,平,75,SW_801980,温,4.643940966651326,17.0,1,-58.0
A股-城市建设,轨交设备,平,76,SW_801076,温,5.018916592782814,64.0,1,-12.0
A股-城市建设,基建,温,75,SW_801723,温,2.7335091281019683,67.0,0,-8.0
A股-城市建设,工程咨询,平,85,SW_801726,温,10.710797630364523,51.0,1,-34.0
A股-城市建设,钢铁,平,51,SW_801040,温,3.544001935304141,40.0,1,-11.0
A股-城市建设,种植业,平,44,SW_801016,温,9.446645243507504,46.0,1,2.0
A股-城市建设,公用事业,温,39,SW_801160,温,0.9868835372646412,79.0,0,40.0
A股-城市建设,房地产,凉,39,SW_801180,温,2.6250514685425332,24.0,2,-15.0
A股-城市建设,建筑材料,温,19,SW_801710,温,-8.781603760873132,21.0,0,2.0
A股-城市建设,环保,温,14,SW_801970,温,7.5014065933984275,43.0,0,29.0
A股-现代制造,农产品加工,温,65,SW_801012,热,10.486887443848314,68.0,1,3.0
A股-现代制造,化学制品,温,63,SW_801034,温,0.30461457110983187,42.0,0,-21.0
A股-现代制造,化学纤维,平,61,SW_801032,温,2.2861850155691443,39.0,1,-22.0
A股-现代制造,综合企业,温,54,SW_801231,温,9.579730911130907,82.0,0,28.0
A股-现代制造,环保设备,温,25,SW_801972,温,6.398537425956581,52.0,0,27.0
A股-现代制造,光学光电子,温,3,SW_801084,温,-7.691104595630048,30.0,0,27.0
A股-工业装备,专用设备,温,24,SW_801074,温,-1.8266971753024055,38.0,0,14.0
A股-工业装备,汽车零部件,温,22,SW_801093,温,2.4989768754764117,12.0,0,-10.0
A股-工业装备,自动化设备,温,17,SW_801078,温,-0.2655832057313683,81.0,0,64.0
A股-工业装备,通用设备,温,10,SW_801072,温,-4.130112446896467,48.0,0,38.0
A股-绿色能源,电池,温,2,SW_801737,温,0.9059900442511619,84.0,0,82.0
A股-绿色能源,光伏设备,温,6,SW_801735,温,-4.533065703583649,7.0,0,1.0
A股-科技,电子元件,沸,31,SW_801083,平,-6.701671434669406,98.0,3,67.0
A股-科技,通信设备,温,29,SW_801102,温,-1.11221444202678,99.0,0,70.0
A股-科技,消费电子,温,28,SW_801085,平,-10.70714781335414,75.0,1,47.0
A股-科技,半导体,温,11,SW_801081,平,-23.470796349699306,96.0,1,85.0
A股-科技,电子化学品,温,4,SW_801086,平,-17.124416018878975,93.0,1,89.0
A股-科技,其他电子,平,1,SW_801082,平,-12.166605342453563,19.0,0,18.0
A股-军工航天,军工,温,30,SW_801740,温,-0.4381140991377635,1.0,0,-29.0
A股-军工航天,军工电子,平,8,SW_801745,温,-2.689238289409988,4.0,1,-4.0
