group,name,ref_temperature,ref_rs,_sid,temperature,temperature_score,rs_score,lv_diff,rs_diff
民生消费,银行,凉,99,SW_801780,热,10.558712603206839,92.0,3,-7.0
民生消费,白酒,平,96,SW_801125,热,10.648308490405713,79.0,2,-17.0
民生消费,交通运输,平,94,SW_801170,温,9.25118435632014,76.0,1,-18.0
民生消费,食品加工,平,92,SW_801124,温,2.945229328676378,63.0,1,-29.0
民生消费,家用电器,平,89,SW_801110,温,4.59179270763478,73.0,1,-16.0
民生消费,汽车,平,80,SW_801880,温,3.4175876633325264,14.0,1,-66.0
民生消费,证券保险,凉,79,SW_801790,温,-0.2681743373372129,66.0,2,-13.0
民生消费,通信服务,平,78,SW_801223,温,3.597778103849873,55.0,1,-23.0
民生消费,电力,平,63,SW_801161,温,2.2975021289191218,85.0,1,22.0
传统能源,石油能源,平,100,SW_801960,温,4.04056274681806,89.0,1,-11.0
传统能源,煤炭能源,平,69,SW_801950,温,-3.2641209000606826,96.0,1,27.0
农业基础,饲料,平,84,SW_801014,温,4.544796059242402,45.0,1,-39.0
农业基础,养殖业,平,76,SW_801017,温,-1.3819745647487807,56.0,1,-20.0
生活服务,社会服务,平,75,SW_801210,热,11.58750103055237,4.0,2,-71.0
生活服务,旅游,平,72,SW_801993,热,12.320008581586919,31.0,2,-41.0
生命健康,中药,平,97,SW_801155,温,4.4632723454703,78.0,1,-19.0
生命健康,医药商业,平,90,SW_801154,温,5.810163882069996,67.0,1,-23.0
生命健康,医疗服务,平,83,SW_801156,温,0.8007827797306074,93.0,1,10.0
生命健康,动物保健,平,59,SW_801018,温,11.532612697281829,66.0,1,7.0
生命健康,医疗器械,平,56,SW_801153,温,2.3039152021626474,51.0,1,-5.0
生命健康,化学制药,平,51,SW_801151,温,-12.365995577023302,34.0,1,-17.0
生命健康,生物制品,平,42,SW_801152,温,-5.963230272979478,30.0,1,-12.0
日用消费品,饮料乳品,平,93,SW_801127,温,9.096514844752118,82.0,1,-11.0
日用消费品,休闲食品,平,87,SW_801128,热,15.115379173531242,46.0,2,-41.0
日用消费品,美容护理,平,82,SW_801980,温,7.695475914277636,21.0,1,-61.0
日用消费品,饰品消费,平,61,SW_801133,温,6.011931289010166,26.0,1,-35.0
日用消费品,服装纺织,平,55,SW_801130,温,7.806249083983367,34.0,1,-21.0
日用消费品,家居用品,平,46,SW_801142,温,6.647116103622729,21.0,1,-25.0
日用消费品,包装印刷,平,8,SW_801141,温,0.307368554985599,11.0,1,3.0
数字娱乐,传媒电影,平,73,SW_801766,温,6.898716726208054,13.0,1,-60.0
数字娱乐,游戏,平,68,SW_801764,温,12.016048017560385,42.0,1,-26.0
数字娱乐,互联网电商,凉,32,SW_801206,温,1.8018524395721736,16.0,2,-16.0
基础资源,金属,平,54,SW_801050,温,-2.2560861356518047,83.0,1,29.0
城市建设,轨交设备,平,86,SW_801076,温,8.427370859531342,74.0,1,-12.0
城市建设,基建,平,70,SW_801723,温,5.255998848909697,74.0,1,4.0
城市建设,钢铁,平,66,SW_801040,温,7.248893524753778,53.0,1,-13.0
城市建设,贸易,平,62,SW_801202,热,12.013238519811393,54.0,2,-8.0
城市建设,种植业,平,52,SW_801016,温,11.832552743870478,52.0,1,0.0
城市建设,公用事业,平,49,SW_801160,温,2.64964984359311,86.0,1,37.0
城市建设,工程咨询,平,41,SW_801726,温,7.501121041360718,38.0,1,-3.0
城市建设,房地产,平,39,SW_801180,温,4.456701572553935,30.0,1,-9.0
城市建设,工程机械,平,38,SW_801077,温,4.633856787611236,84.0,1,46.0
城市建设,装修建材,平,30,SW_801713,温,3.8843524363271373,18.0,1,-12.0
城市建设,专业服务,平,20,SW_801218,温,-1.6723771444836333,9.0,1,-11.0
数字科技,软件开发,平,65,SW_801104,热,12.025928246769213,34.0,2,-31.0
数字科技,计算机设备,凉,48,SW_801101,温,-7.008207127699045,68.0,2,20.0
数字科技,IT服务,凉,37,SW_801103,温,-0.016041437291791756,22.0,2,-15.0
化工,化学制品,平,34,SW_801034,温,-2.1083952705281703,29.0,1,-5.0
工业配套,工业金属,凉,45,SW_801055,温,3.4544589813845286,97.0,2,52.0
工业配套,综合企业,凉,35,SW_801231,温,-1.1351813742805112,65.0,2,30.0
工业配套,风电设备,凉,27,SW_801736,温,4.708143254789824,10.0,2,-17.0
工业配套,环保设备,凉,24,SW_801972,温,0.370096945277074,44.0,2,20.0
国防安全,军工,凉,26,SW_801740,温,-3.8332801722368153,1.0,2,-25.0
国防安全,军工电子,凉,11,SW_801745,温,-10.127051046655072,4.0,2,-7.0
新能源装备,电池,凉,31,SW_801737,温,-1.906190585186184,80.0,2,49.0
新能源装备,光伏设备,凉,6,SW_801735,温,-8.728685516689403,7.0,2,1.0
工业装备,电机,凉,44,SW_801731,温,10.437291345263889,26.0,2,-18.0
工业装备,汽车零部件,凉,25,SW_801093,温,-0.45227382468187777,23.0,2,-2.0
工业装备,专用设备,凉,18,SW_801074,温,-11.524690762392407,25.0,2,7.0
工业装备,自动化设备,凉,13,SW_801078,平,-15.255053090519349,66.0,1,53.0
工业装备,通用设备,凉,7,SW_801072,平,-18.285837491305443,24.0,1,17.0
