group,name,ref_temperature,ref_rs,_sid,temperature,temperature_score,rs_score,lv_diff,rs_diff
A股-医药健康,医疗服务,温,100,SW_801156,沸,100.0,99,2,-1
A股-医药健康,医药商业,平,96,SW_801154,平,-0.5167583376880591,76,0,-20
A股-医药健康,化学制药,温,90,SW_801151,平,8.62148417697073,84,1,-6
A股-医药健康,中药,平,86,SW_801155,平,-8.121058068083029,50,0,-36
A股-医药健康,生物制品,平,76,SW_801152,平,4.240671454330721,87,0,11
A股-医药健康,医疗器械,平,66,SW_801153,平,-22.37117740547582,60,0,-6
A股-综合与商业服务,工程咨询与专业服务,平,98,SW_801726,平,42.86273894089851,97,0,-1
A股-综合与商业服务,社会服务,平,70,SW_801210,平,-32.206440393620916,66,0,-4
A股-综合与商业服务,综合企业,平,58,SW_801231,平,-7.778069290680978,73,0,15
A股-消费,服装纺织,平,94,SW_801130,平,-12.112757666784654,79,0,-15
A股-消费,白酒,平,92,SW_801125,平,-13.008139201691963,80,0,-12
A股-消费,食品饮料,平,88,SW_801120,平,-13.473650395143723,83,0,-5
A股-消费,珠宝饰品,平,78,SW_801133,平,-12.653400351775499,82,0,4
A股-消费,家电家居,平,64,SW_801110,平,-21.795770683814137,34,0,-30
A股-消费,饲料动保,平,62,SW_801014,平,-35.07864865266773,24,0,-38
A股-消费,商贸零售,平,60,SW_801200,平,-35.41579723701262,27,0,-33
A股-消费,美容护理,平,56,SW_801980,平,-27.972748423560564,37,0,-19
A股-消费,农牧养殖,平,38,SW_801017,平,-16.119730639620098,50,0,12
A股-消费,旅游酒店,平,34,SW_801993,平,-34.742583141049955,52,0,18
A股-互联网与传媒,游戏传媒,平,80,SW_801760,平,-21.736686264490757,89,0,9
A股-互联网与传媒,AI与数据服务,平,72,SW_801103,平,-36.178612966676766,57,0,-15
A股-互联网与传媒,软件与IT服务,平,54,SW_801104,平,-24.0694117247548,81,0,27
A股-互联网与传媒,互联网电商,平,44,SW_801206,平,-29.14725303534084,66,0,22
A股-互联网与传媒,通信运营服务,平,42,SW_801223,平,-40.325599967469195,36,0,-6
A股-能源与公用事业,油气能源,平,82,SW_801960,平,-8.215621371755894,50,0,-32
A股-能源与公用事业,煤炭,平,74,SW_801950,平,24.737398914551758,96,0,22
A股-能源与公用事业,电力公用,平,16,SW_801160,平,-30.332517846427013,30,0,14
A股-材料与资源,金属钢铁,平,68,SW_801050,平,3.602577195557741,92,0,24
A股-材料与资源,化工材料,平,48,SW_801030,平,-17.381628426643022,63,0,15
A股-材料与资源,基础耗材与包装,平,14,SW_801140,平,-36.28714798565103,40,0,26
A股-地产基建,房地产开发,平,84,SW_801181,平,-19.075177692961432,74,0,-10
A股-地产基建,建筑建材,平,40,SW_801710,平,-12.195786920407135,53,0,13
A股-地产基建,基建工程,平,8,SW_801723,平,-53.01001197835867,15,0,7
A股-工业制造与交通,交通运输与物流,平,50,SW_801170,平,-32.21759054385123,24,0,-26
A股-工业制造与交通,环保设备与服务,平,46,SW_801970,平,-18.355218944962022,70,0,24
A股-工业制造与交通,电气电网设备,平,36,SW_801738,平,-26.375180742982852,30,0,-6
A股-工业制造与交通,机械设备,平,32,SW_801890,平,-8.182369506272641,60,0,28
A股-工业制造与交通,自动化与机器人,平,30,SW_801078,平,-5.673475399504996,77,0,47
A股-工业制造与交通,汽车零部件,平,26,SW_801093,凉,-42.354899143185015,38,1,12
A股-工业制造与交通,光伏风电设备,平,24,SW_801735,凉,-50.53437863917885,30,1,6
A股-工业制造与交通,动力电池,平,22,SW_801737,平,-14.77297282451136,51,0,29
A股-工业制造与交通,轨交军工装备,平,2,SW_801740,凉,-49.778871793576876,4,1,2
A股-工业制造与交通,汽车整车,平,0,SW_801095,平,-54.351047866435465,3,0,3
A股-科技硬件,电子元件材料,平,52,SW_801083,平,28.269782448358786,98,0,46
A股-科技硬件,消费电子,平,28,SW_801085,平,-11.537331058676635,17,0,-11
A股-科技硬件,计算机设备,平,20,SW_801101,平,-25.136564371128095,27,0,7
A股-科技硬件,通信设备,平,10,SW_801102,平,-5.243259542398818,26,0,16
A股-科技硬件,半导体,平,6,SW_801081,平,6.318142153156537,56,0,50
A股-科技硬件,光学电子,平,4,SW_801084,平,-14.27678156790322,66,0,62
A股-金融,银行,平,18,SW_801780,平,-9.340879084734237,47,0,29
A股-金融,证券保险,平,12,SW_801790,平,-29.853005096295362,8,0,-4
