group,name,ref_temperature,ref_rs,_sid,temperature,temperature_score,rs_score,lv_diff,rs_diff
A股-医药健康,医疗服务,沸,100,SW_801156,沸,100.0,99,0,-1
A股-医药健康,中药,平,86,SW_801155,平,-5.9455719496107795,73,0,-13
A股-医药健康,医药商业,平,84,SW_801154,平,-8.480591865307867,77,0,-7
A股-医药健康,化学制药,温,82,SW_801151,平,4.856245324244229,78,1,-4
A股-医药健康,生物制品,平,72,SW_801152,平,-1.9325641904839372,81,0,9
A股-医药健康,医疗器械,平,68,SW_801153,平,-23.685570484613446,62,0,-6
A股-消费,白酒,平,94,SW_801125,平,-12.253448684447083,88,0,-6
A股-消费,食品饮料,平,92,SW_801120,平,-12.235091770159865,89,0,-3
A股-消费,珠宝饰品,平,90,SW_801133,平,-11.625312678828696,86,0,-4
A股-消费,商贸零售,平,80,SW_801200,平,-36.84735680297233,50,0,-30
A股-消费,服装纺织,平,78,SW_801130,平,-18.222481209286045,73,0,-5
A股-消费,美容护理,平,70,SW_801980,平,-24.490207331257643,57,0,-13
A股-消费,家电家居,平,62,SW_801110,平,-16.575962009524762,63,0,1
A股-消费,饲料动保,平,60,SW_801014,平,-29.940906647149863,48,0,-12
A股-消费,农牧养殖,平,58,SW_801017,平,-13.198622662516167,64,0,6
A股-消费,旅游酒店,平,38,SW_801993,平,-35.77282468526979,61,0,23
A股-能源与公用事业,油气能源,平,98,SW_801960,平,-4.5763435631383,86,0,-12
A股-能源与公用事业,煤炭,平,88,SW_801950,平,37.190279191494895,99,0,11
A股-能源与公用事业,电力公用,平,30,SW_801160,平,-28.3068342871069,53,0,23
A股-综合与商业服务,社会服务,平,66,SW_801210,平,-32.61301868267705,76,0,10
A股-综合与商业服务,工程咨询与专业服务,平,64,SW_801726,平,10.617653949183282,84,0,20
A股-综合与商业服务,综合企业,平,40,SW_801231,平,-18.818170195003955,26,0,-14
A股-互联网与传媒,游戏传媒,平,76,SW_801760,平,-23.10236063350572,83,0,7
A股-互联网与传媒,AI与数据服务,平,56,SW_801103,平,-40.4384310788116,34,0,-22
A股-互联网与传媒,软件与IT服务,平,52,SW_801104,平,-25.55982216561896,74,0,22
A股-互联网与传媒,互联网电商,平,50,SW_801206,平,-30.609473461140404,45,0,-5
A股-互联网与传媒,通信运营服务,平,36,SW_801223,平,-43.20476552325399,38,0,2
A股-材料与资源,金属钢铁,平,96,SW_801050,平,15.240484378679556,92,0,-4
A股-材料与资源,化工材料,平,54,SW_801030,平,-12.18841513137482,60,0,6
A股-材料与资源,基础耗材与包装,平,6,SW_801140,凉,-40.27943503043866,43,1,37
A股-金融,银行,平,42,SW_801780,平,-5.3457038932216445,79,0,37
A股-金融,证券保险,温,32,SW_801790,平,-23.207777285018125,27,1,-5
A股-地产基建,房地产开发,平,46,SW_801181,凉,-42.86114058824644,38,1,-8
A股-地产基建,基建工程,平,28,SW_801723,平,-50.9655954577073,29,0,1
A股-地产基建,建筑建材,平,24,SW_801710,平,-14.142588409041204,34,0,10
A股-科技硬件,电子元件材料,平,48,SW_801083,平,21.315836053727242,94,0,46
A股-科技硬件,消费电子,平,44,SW_801085,平,-12.518267143743467,7,0,-37
A股-科技硬件,计算机设备,平,34,SW_801101,平,-20.437911520253675,16,0,-18
A股-科技硬件,半导体,平,10,SW_801081,平,0.9985114058437505,6,0,-4
A股-科技硬件,通信设备,平,2,SW_801102,平,-15.801858241204881,2,0,0
A股-科技硬件,光学电子,平,0,SW_801084,平,-23.413960804771875,11,0,11
A股-工业制造与交通,交通运输与物流,平,74,SW_801170,平,-23.042484884332158,66,0,-8
A股-工业制造与交通,机械设备,平,26,SW_801890,平,-11.91325474136923,14,0,-12
A股-工业制造与交通,自动化与机器人,平,22,SW_801078,平,-8.810820651633401,21,0,-1
A股-工业制造与交通,动力电池,平,20,SW_801737,平,-16.108308703560745,22,0,2
A股-工业制造与交通,电气电网设备,平,18,SW_801738,平,-27.166492391461382,30,0,12
A股-工业制造与交通,环保设备与服务,平,16,SW_801970,平,-22.37227011208964,47,0,31
A股-工业制造与交通,汽车零部件,平,14,SW_801093,凉,-47.47782605703848,23,1,9
A股-工业制造与交通,轨交军工装备,平,12,SW_801740,凉,-48.10612436254443,4,1,-8
A股-工业制造与交通,汽车整车,平,8,SW_801095,平,-49.90012570412768,19,0,11
A股-工业制造与交通,光伏风电设备,平,4,SW_801735,寒,-64.92186066756375,3,2,-1
