group,name,ref_temperature,ref_pct_chg,ref_amount,ref_rs
民生消费,银行,凉,-0.3,384亿,99
民生消费,白酒,平,0.1,152亿,96
民生消费,交通运输,平,0.8,217亿,94
民生消费,食品加工,平,-0.2,83亿,92
民生消费,家用电器,平,-0.9,200亿,89
民生消费,汽车,平,-0.5,178亿,80
民生消费,证券保险,凉,-0.2,397亿,79
民生消费,通信服务,平,1.9,155亿,78
民生消费,电力,平,1.0,424亿,63
传统能源,石油能源,平,0.0,159亿,100
传统能源,煤炭能源,平,-3.0,120亿,69
农业基础,饲料,平,-0.3,22亿,84
农业基础,养殖业,平,-0.2,61亿,76
生活服务,社会服务,平,0.5,159亿,75
生活服务,旅游,平,0.6,41亿,72
生命健康,中药,平,0.1,110亿,97
生命健康,医药商业,平,0.4,35亿,90
生命健康,医疗服务,平,-0.5,214亿,83
生命健康,动物保健,平,-0.1,17亿,59
生命健康,医疗器械,平,-0.1,177亿,56
生命健康,化学制药,平,-1.4,329亿,51
生命健康,生物制品,平,-0.4,78亿,42
日用消费品,饮料乳品,平,0.2,76亿,93
日用消费品,休闲食品,平,1.1,22亿,87
日用消费品,美容护理,平,-0.5,39亿,82
日用消费品,饰品消费,平,-0.8,15亿,61
日用消费品,服装纺织,平,1.0,100亿,55
日用消费品,家居用品,平,1.3,50亿,46
日用消费品,包装印刷,平,1.0,63亿,8
数字娱乐,传媒电影,平,0.7,467亿,73
数字娱乐,游戏,平,0.7,228亿,68
数字娱乐,互联网电商,凉,0.7,33亿,32
基础资源,金属,平,-0.4,0.1万亿,54
城市建设,轨交设备,平,1.7,37亿,86
城市建设,基建,平,1.1,110亿,70
城市建设,钢铁,平,0.8,85亿,66
城市建设,贸易,平,-0.2,10亿,62
城市建设,种植业,平,2.7,48亿,52
城市建设,公用事业,平,2.2,166亿,49
城市建设,工程咨询,平,-0.1,101亿,41
城市建设,房地产,平,0.7,165亿,39
城市建设,工程机械,平,-0.2,154亿,38
城市建设,装修建材,平,0.5,108亿,30
城市建设,专业服务,平,0.0,42亿,20
数字科技,软件开发,平,0.4,641亿,65
数字科技,计算机设备,凉,0.6,303亿,48
数字科技,IT服务,凉,0.4,527亿,37
化工,化学制品,平,1.2,353亿,34
工业配套,工业金属,凉,2.8,473亿,45
工业配套,综合企业,凉,2.7,29亿,35
工业配套,风电设备,凉,3.7,109亿,27
工业配套,环保设备,凉,2.9,39亿,24
工业配套,电源设备,凉,1.1,152亿,17
工业配套,光电子,凉,0.0,365亿,4
工业配套,基础耗材,凉,-2.3,542亿,0
国防安全,军工,凉,1.1,265亿,26
国防安全,军工电子,凉,0.6,205亿,11
新能源装备,电池,凉,-0.2,463亿,31
新能源装备,光伏设备,凉,1.9,276亿,6
工业装备,电机,凉,4.7,74亿,44
工业装备,汽车零部件,凉,0.9,412亿,25
工业装备,专用设备,凉,0.0,360亿,18
工业装备,自动化设备,凉,-0.4,400亿,13
工业装备,通用设备,凉,-0.4,566亿,7
