group,name,ref_temperature,ref_pct_chg,ref_amount,ref_rs
传统能源,石油能源,平,-2.6,248亿,96
传统能源,煤炭能源,平,-1.9,195亿,92
农业基础,养殖业,平,-2.3,87亿,89
农业基础,饲料,平,-0.9,37亿,86
生命健康,中药,平,-0.7,206亿,100
生命健康,医疗服务,温,1.3,349亿,99
生命健康,化学制药,温,-0.2,622亿,97
生命健康,医药商业,平,-1.4,61亿,87
生命健康,生物制品,平,0.2,144亿,80
生命健康,医疗器械,平,-0.2,277亿,70
生命健康,动物保健,凉,-1.8,23亿,52
民生消费,证券保险,温,-0.1,693亿,94
民生消费,银行,温,-2.4,456亿,93
民生消费,白酒,平,-1.5,281亿,90
民生消费,交通运输,平,-0.1,284亿,84
民生消费,电力,平,-0.4,780亿,82
民生消费,食品加工,平,-0.8,97亿,79
民生消费,家用电器,平,1.1,264亿,78
民生消费,通信服务,平,-0.3,205亿,75
民生消费,汽车,平,-0.4,208亿,69
数字科技,计算机设备,凉,4.2,546亿,73
数字科技,IT服务,凉,3.3,661亿,62
数字科技,软件开发,凉,2.4,601亿,59
硬科技,半导体,平,11.6,0.5万亿,76
硬科技,通信设备,平,9.0,0.2万亿,65
硬科技,电子元件,平,8.0,0.2万亿,63
硬科技,消费电子,凉,7.0,926亿,56
硬科技,电子化学品,平,11.3,503亿,46
硬科技,其他电子,凉,8.0,272亿,27
基础资源,金属,凉,4.2,0.1万亿,54
数字娱乐,游戏,凉,1.5,198亿,66
数字娱乐,传媒电影,凉,0.4,318亿,42
数字娱乐,互联网电商,凉,1.5,43亿,35
生活服务,旅游,凉,-0.4,48亿,58
生活服务,社会服务,凉,0.1,174亿,38
日用消费品,饮料乳品,平,0.8,75亿,83
日用消费品,美容护理,平,-0.4,54亿,72
日用消费品,饰品消费,凉,-0.1,16亿,49
日用消费品,休闲食品,寒,-2.0,24亿,25
日用消费品,服装纺织,寒,-1.0,123亿,16
日用消费品,家居用品,寒,-0.4,76亿,1
日用消费品,包装印刷,凉,1.2,67亿,0
农化加工,化学原料,凉,0.1,207亿,44
农化加工,农产品加工,凉,1.4,198亿,31
农化加工,化学制品,凉,2.0,511亿,22
工业装备,自动化设备,凉,6.6,601亿,45
工业装备,专用设备,凉,5.2,508亿,37
工业装备,通用设备,凉,5.6,774亿,34
工业装备,汽车零部件,凉,2.5,527亿,20
工业装备,电机,凉,3.7,56亿,18
城市基建,轨交设备,平,0.5,59亿,68
城市基建,基建,凉,-0.2,144亿,61
城市基建,钢铁,凉,-0.0,105亿,55
城市基建,工程机械,凉,1.6,205亿,51
城市基建,贸易,凉,1.6,13亿,28
城市基建,专业服务,凉,2.2,56亿,14
城市基建,工程咨询,凉,2.3,90亿,13
城市基建,房地产,寒,-0.3,216亿,11
城市基建,公用事业,寒,-0.0,243亿,7
城市基建,种植业,寒,-0.6,39亿,4
城市基建,装修建材,寒,0.1,148亿,3
新能源装备,电池,凉,3.2,842亿,41
新能源装备,光伏设备,凉,3.4,351亿,10
工业配套,综合企业,寒,1.0,41亿,48
工业配套,电源设备,凉,4.9,190亿,39
工业配套,光学光电子,凉,7.3,737亿,30
工业配套,电网设备,凉,2.0,447亿,24
工业配套,基础耗材,凉,5.1,700亿,21
工业配套,环保设备,凉,3.2,59亿,8
工业配套,风电设备,凉,2.4,92亿,6
国防安全,军工电子,凉,5.5,330亿,32
国防安全,军工,凉,1.5,355亿,17
