group,name,ref_temperature,ref_pct_chg,ref_amount,ref_rs
A股-中国资源,石油能源,沸,-1.1%,159亿,97
A股-中国资源,煤炭能源,平,-0.0%,12.5亿,25
A股-中国资源,金属,凉,-2.0%,17.7亿,94
A股-中国消费,白酒,平,-0.6%,220亿,85
A股-中国消费,交通运输,温,0.6%,150亿,79
A股-中国消费,家用电器,温,-0.3%,105亿,78
A股-中国消费,证券保险,温,0.4%,150亿,70
A股-中国消费,电力,温,0.4%,100亿,68
A股-文旅娱乐,游戏,沸,2.9%,21亿,92
A股-文旅娱乐,传媒电影,沸,2.5%,53亿,90
A股-文旅娱乐,互联网电商,沸,2.7%,38亿,46
A股-生命科学,化学制药,平,-0.3%,14亿,99
A股-生命科学,医疗器械,温,0.6%,34亿,100
A股-生命科学,生物制药,温,0.4%,20亿,84
A股-生命科学,中药,平,0.0%,14亿,81
A股-生命科学,医疗服务,温,-0.4%,5.6亿,54
A股-生命科学,农林牧渔,温,1.3%,39亿,43
A股-数字经济,软件开发,温,2.3%,83亿,86
A股-数字经济,计算机设备,温,2.4%,37亿,62
A股-数字经济,IT服务,沸,3.6%,54亿,49
A股-新型消费,美容护理,平,-0.8%,40亿,75
A股-城市建设,轨交设备,平,-0.5%,38亿,76
A股-城市建设,基建,温,-0.2%,97亿,75
A股-城市建设,工程咨询,平,0.0%,12亿,85
A股-城市建设,钢铁,平,-1.4%,81亿,51
A股-城市建设,种植业,平,-0.5%,45亿,44
A股-城市建设,公用事业,温,-0.4%,18亿,39
A股-城市建设,房地产,凉,-1.5%,76亿,39
A股-城市建设,建筑材料,温,0.4%,18亿,19
A股-城市建设,环保,温,-0.5%,10亿,14
A股-现代制造,农产品加工,温,0.0%,14亿,65
A股-现代制造,化学制品,温,-0.6%,17亿,63
A股-现代制造,化学纤维,平,1.0%,37亿,61
A股-现代制造,综合企业,温,5.7%,32亿,54
A股-现代制造,黑电设备,温,1.4%,5.8亿,46
A股-现代制造,环保设备,温,2.5%,7.6亿,25
A股-现代制造,电源设备,温,3.4%,180亿,16
A股-现代制造,光学光电子,温,4.5%,44亿,3
A股-现代制造,玻璃建材,温,3.7%,5.5亿,0
A股-工业装备,专用设备,温,3.4%,38亿,24
A股-工业装备,汽车零部件,温,1.0%,43亿,22
A股-工业装备,自动化设备,温,4.9%,45亿,17
A股-工业装备,通用设备,温,4.2%,84亿,10
A股-绿色能源,电池,温,0.9%,52亿,2
A股-绿色能源,光伏设备,温,1.4%,26亿,6
A股-科技,电子元件,沸,8.8%,0.17亿,31
A股-科技,通信设备,温,4.5%,0.37亿,29
A股-科技,消费电子,温,3.5%,0.35亿,28
A股-科技,半导体,温,5.4%,0.33亿,11
A股-科技,电子化学品,温,5.8%,33亿,4
A股-科技,其他电子,平,5.1%,18亿,1
A股-军工航天,军工,温,3.7%,5.6亿,30
A股-军工航天,军工电子,平,2.7%,20亿,8
