group,name,ref_temperature,ref_pct_chg,ref_amount,ref_rs
传统能源,石油能源,平,0.9,161亿,99
传统能源,煤炭能源,平,-0.0,107亿,93
民生消费,银行,热,2.2,355亿,100
民生消费,白酒,平,2.2,180亿,97
民生消费,交通运输,平,0.8,204亿,94
民生消费,食品加工,平,1.6,60亿,89
民生消费,证券保险,温,-0.5,375亿,86
民生消费,通信服务,平,1.2,127亿,80
民生消费,汽车,平,1.2,146亿,78
民生消费,家用电器,平,0.8,172亿,73
民生消费,电力,凉,-0.1,461亿,72
农业基础,养殖业,平,0.2,45亿,84
农业基础,饲料,平,0.8,20亿,82
生命健康,中药,平,-0.0,129亿,96
生命健康,医药商业,平,0.1,36亿,92
生命健康,医疗服务,平,-1.6,228亿,90
生命健康,化学制药,平,-1.6,373亿,75
生命健康,动物保健,凉,-0.0,24亿,56
生命健康,生物制品,平,-1.6,94亿,55
生命健康,医疗器械,凉,-0.3,195亿,54
生活服务,旅游,平,1.4,45亿,79
生活服务,社会服务,凉,1.9,141亿,61
基础资源,金属,凉,-1.9,893亿,65
日用消费品,饮料乳品,平,2.5,56亿,87
日用消费品,美容护理,平,0.1,45亿,83
日用消费品,饰品消费,平,1.3,13亿,70
日用消费品,休闲食品,平,3.6,20亿,59
日用消费品,服装纺织,平,0.8,101亿,58
日用消费品,家居用品,凉,1.2,48亿,27
日用消费品,包装印刷,凉,-0.0,46亿,3
数字科技,计算机设备,凉,-2.5,322亿,62
数字科技,软件开发,凉,0.2,353亿,45
数字科技,IT服务,凉,-0.1,480亿,42
农化加工,农产品加工,平,0.2,137亿,68
农化加工,化学原料,凉,-0.6,130亿,51
农化加工,化学制品,凉,-1.5,418亿,20
城市基建,贸易,平,1.7,12亿,76
城市基建,钢铁,平,-0.0,58亿,69
城市基建,轨交设备,凉,0.5,32亿,66
城市基建,基建,平,-0.0,106亿,63
城市基建,工程咨询,平,2.1,122亿,49
城市基建,工程机械,凉,-0.8,128亿,44
城市基建,种植业,凉,-0.0,30亿,35
城市基建,房地产,凉,0.6,150亿,34
城市基建,公用事业,凉,-0.8,199亿,30
城市基建,装修建材,凉,0.1,90亿,17
城市基建,专业服务,凉,-0.5,36亿,7
数字娱乐,传媒电影,凉,0.8,237亿,52
数字娱乐,互联网电商,凉,-0.9,41亿,46
数字娱乐,游戏,凉,-0.6,94亿,32
新能源装备,电池,凉,-2.4,601亿,48
新能源装备,光伏设备,凉,-2.4,235亿,4
硬科技,消费电子,凉,-5.0,632亿,39
硬科技,半导体,平,-7.2,0.4万亿,38
硬科技,电子元件,凉,-9.4,898亿,28
硬科技,通信设备,寒,-11.8,0.2万亿,22
硬科技,电子化学品,凉,-6.0,398亿,21
硬科技,其他电子,凉,-6.3,185亿,1
国防安全,军工,凉,-1.6,272亿,24
国防安全,军工电子,凉,-3.8,193亿,14
工业配套,电网设备,凉,-2.6,402亿,41
工业配套,综合企业,凉,-4.9,31亿,37
工业配套,电源设备,凉,-4.5,143亿,25
工业配套,风电设备,凉,-0.6,93亿,16
工业配套,环保设备,凉,-1.3,39亿,11
工业配套,基础耗材,凉,-3.7,501亿,6
工业配套,光学光电子,凉,-3.4,458亿,0
工业装备,专用设备,凉,-3.6,362亿,31
工业装备,电机,凉,-1.2,34亿,18
工业装备,自动化设备,寒,-4.9,363亿,13
工业装备,通用设备,凉,-3.8,500亿,10
工业装备,汽车零部件,凉,-1.6,339亿,8
