group,name,ref_temperature,ref_rs,_sid,temperature,temperature_score,rs_score,lv_diff,rs_diff
传统能源,石油能源,平,99,SW_801960,平,-17.844825930486664,86,0,-13
传统能源,煤炭能源,平,93,SW_801950,平,-6.381994384006358,96,0,3
民生消费,银行,热,100,SW_801780,温,10.99428624182801,99,1,-1
民生消费,白酒,平,97,SW_801125,平,-4.208095581577965,95,0,-2
民生消费,交通运输,平,94,SW_801170,平,-12.815083256815754,89,0,-5
民生消费,食品加工,平,89,SW_801124,凉,-21.656301686544055,75,1,-14
民生消费,证券保险,温,86,SW_801790,平,0.6565984935108582,76,1,-10
民生消费,通信服务,平,80,SW_801223,凉,-24.18141091592317,64,1,-16
民生消费,汽车,平,78,SW_801880,凉,-29.000834140665603,43,1,-35
民生消费,家用电器,平,73,SW_801110,平,-15.880745709450087,73,0,0
民生消费,电力,凉,72,SW_801161,凉,-21.376281477211414,84,0,12
农业基础,养殖业,平,84,SW_801017,平,-4.398221907225548,87,0,3
农业基础,饲料,平,82,SW_801014,平,-13.721508523185381,80,0,-2
生命健康,中药,平,96,SW_801155,平,0.0643252293482357,90,0,-6
生命健康,医药商业,平,92,SW_801154,平,-16.772488945467238,74,0,-18
生命健康,医疗服务,平,90,SW_801156,温,20.849061054969184,83,1,-7
生命健康,化学制药,平,75,SW_801151,平,0.3601347010315554,77,0,2
生命健康,动物保健,凉,56,SW_801018,凉,-27.60040149986373,42,0,-14
生命健康,生物制品,平,55,SW_801152,平,-17.925866531757173,62,0,7
生命健康,医疗器械,凉,54,SW_801153,凉,-25.36450214003164,66,0,12
生活服务,旅游,平,79,SW_801993,凉,-27.389030279069498,55,1,-24
生活服务,社会服务,凉,61,SW_801210,凉,-30.666215374307,30,0,-31
基础资源,金属,凉,65,SW_801050,凉,-29.98120342756763,37,0,-28
日用消费品,饮料乳品,平,87,SW_801127,平,-8.595517413799632,93,0,6
日用消费品,美容护理,平,83,SW_801980,凉,-19.739989810030924,83,1,0
日用消费品,饰品消费,平,70,SW_801133,凉,-26.46290214945702,70,1,0
日用消费品,休闲食品,平,59,SW_801128,凉,-27.522613401256887,56,1,-3
日用消费品,服装纺织,平,58,SW_801130,凉,-27.3025693775362,57,1,-1
日用消费品,家居用品,凉,27,SW_801142,凉,-30.07899160770079,36,0,9
日用消费品,包装印刷,凉,3,SW_801141,凉,-33.038005817826765,24,0,21
数字科技,计算机设备,凉,62,SW_801101,凉,-24.387845967780542,53,0,-9
数字科技,软件开发,凉,45,SW_801104,凉,-29.151613371056502,33,0,-12
数字科技,IT服务,凉,42,SW_801103,凉,-28.88961152619027,35,0,-7
农化加工,农产品加工,平,68,SW_801012,凉,-24.71838528432066,74,1,6
农化加工,化学原料,凉,51,SW_801033,凉,-28.56628885818784,49,0,-2
农化加工,化学制品,凉,20,SW_801034,凉,-30.76888738153903,29,0,9
城市基建,贸易,平,76,SW_801202,凉,-28.916900534426055,43,1,-33
城市基建,钢铁,平,69,SW_801040,凉,-27.740299801087367,60,1,-9
城市基建,轨交设备,凉,66,SW_801076,凉,-20.476631341235223,77,0,11
城市基建,基建,平,63,SW_801723,凉,-25.259312211555148,61,1,-2
城市基建,工程咨询,平,49,SW_801726,凉,-26.80704169005611,32,1,-17
城市基建,工程机械,凉,44,SW_801077,平,-17.68268405589134,85,1,41
城市基建,种植业,凉,35,SW_801016,凉,-29.078958488869908,46,0,11
城市基建,房地产,凉,34,SW_801180,凉,-27.206747192387745,53,0,19
城市基建,公用事业,凉,30,SW_801160,凉,-21.78588659100834,79,0,49
城市基建,装修建材,凉,17,SW_801713,凉,-31.588270502691955,37,0,20
城市基建,专业服务,凉,7,SW_801218,凉,-33.15243289148672,19,0,12
数字娱乐,传媒电影,凉,52,SW_801766,凉,-29.351828777750683,40,0,-12
数字娱乐,互联网电商,凉,46,SW_801206,凉,-27.825336991441276,46,0,0
数字娱乐,游戏,凉,32,SW_801764,凉,-31.72120632366948,26,0,-6
新能源装备,电池,凉,48,SW_801737,凉,-28.768436698471575,44,0,-4
新能源装备,光伏设备,凉,4,SW_801735,凉,-36.802014376680994,15,0,11
硬科技,消费电子,凉,39,SW_801085,凉,-30.411914936828154,22,0,-17
硬科技,半导体,平,38,SW_801081,平,-11.62612675112093,31,0,-7
硬科技,电子元件,凉,28,SW_801083,凉,-21.66263793092262,19,0,-9
硬科技,通信设备,寒,22,SW_801102,凉,-27.461120573407644,7,1,-15
硬科技,电子化学品,凉,21,SW_801086,平,-14.891412955561083,15,1,-6
硬科技,其他电子,凉,1,SW_801082,凉,-35.88386241967909,3,0,2
国防安全,军工,凉,24,SW_801740,凉,-33.47110983514057,11,0,-13
国防安全,军工电子,凉,14,SW_801745,凉,-35.31081981446769,10,0,-4
工业配套,电网设备,凉,41,SW_801738,凉,-31.106964640252087,30,0,-11
工业配套,综合企业,凉,37,SW_801231,凉,-29.93712358907198,16,0,-21
工业配套,风电设备,凉,16,SW_801736,凉,-36.142979791308946,13,0,-3
工业配套,环保设备,凉,11,SW_801972,凉,-32.636440045653515,20,0,9
工业配套,光学光电子,凉,0,SW_801084,凉,-30.68305843067894,9,0,9
工业装备,专用设备,凉,31,SW_801074,凉,-32.10344798748282,17,0,-14
工业装备,电机,凉,18,SW_801731,凉,-32.92308468964681,23,0,5
工业装备,自动化设备,寒,13,SW_801078,凉,-31.32931878741504,12,1,-1
工业装备,通用设备,凉,10,SW_801072,凉,-32.54267274527319,11,0,1
工业装备,汽车零部件,凉,8,SW_801093,凉,-31.099989232374874,25,0,17
