group,name,ref_temperature,ref_pct_chg,ref_amount,ref_rs
硬科技,半导体,温,8.6,0.6万亿,67
硬科技,电子化学品Ⅱ,温,6.6,642亿,99
硬科技,电子元件,平,6.8,0.1万亿,94
硬科技,其他电子Ⅱ,平,4.5,3.4亿,90
硬科技,通信设备,平,6.0,0.2万亿,83
硬科技,消费电子,平,6.6,0.1万亿,80
生命健康,医疗服务,温,2.9,243亿,97
生命健康,化学制药,平,1.0,497亿,93
生命健康,医药商业,平,-0.8,34亿,75
生命健康,中药,平,-0.3,95亿,73
生命健康,生物制品,平,0.5,113亿,70
生命健康,生物科技,平,-1.8,17亿,68
生命健康,医疗器械,凉,0.4,186亿,55
数字科技,计算机设备,平,3.1,626亿,96
数字科技,IT 服务Ⅱ,凉,2.6,632亿,63
数字科技,软件开发,凉,2.3,549亿,59
农业基础,养殖业,平,0.1,64亿,76
农业基础,饲料,平,1.1,20亿,62
工业装备,通用设备,温,2.6,863亿,86
工业装备,自动化设备,平,4.2,658亿,84
工业装备,专用设备,平,2.6,544亿,78
工业装备,电机Ⅱ,凉,0.5,70亿,37
工业装备,汽车零部件,凉,-0.0,497亿,34
国防安全,军工电子Ⅱ,平,3.0,382亿,82
国防安全,军工,凉,1.4,389亿,48
工业配套,光学光电子,平,4.8,979亿,89
工业配套,综合企业,平,4.4,52亿,87
工业配套,基础耗材,凉,3.1,795亿,72
工业配套,电源设备Ⅱ,凉,3.1,237亿,58
工业配套,环保设备Ⅱ,寒,0.4,52亿,46
工业配套,电网设备,寒,0.0,410亿,21
工业配套,风电设备,寒,0.1,103亿,17
传统能源,石油能源,平,0.3,213亿,54
传统能源,煤炭能源,平,-1.3,117亿,52
数字娱乐,游戏,平,0.5,227亿,79
数字娱乐,互联网电商,凉,0.5,24亿,38
数字娱乐,传媒影视,凉,0.6,279亿,18
民生消费,证券保险,温,1.4,563亿,92
民生消费,家用电器,平,0.2,206亿,66
民生消费,银行,凉,-1.1,247亿,56
民生消费,交通运输,凉,-0.8,198亿,51
民生消费,通信服务,凉,0.2,150亿,39
民生消费,食品加工,凉,-1.6,59亿,30
民生消费,电力,凉,-0.0,347亿,24
民生消费,汽车,凉,-0.4,165亿,14
民生消费,白酒,凉,-1.4,106亿,8
新能源装备,电池,寒,1.6,904亿,49
新能源装备,光伏设备Ⅱ,寒,11,33亿,35
农化加工,化学制品,平,0.4,648亿,61
农化加工,化学原料,寒,0.0,167亿,27
农化加工,农产品加工,寒,-1.4,180亿,13
日用消费品,饮料乳品,平,-0.7,49亿,65
日用消费品,美容护理,凉,-1.1,30亿,45
日用消费品,服装纺织,凉,-0.6,92亿,44
日用消费品,饰品消费,凉,-0.6,14亿,28
日用消费品,休闲食品,凉,-1.9,13亿,22
日用消费品,包装印刷,寒,0.9,58亿,16
日用消费品,家居用品,寒,-0.5,63亿,10
基础资源,金属,寒,-0.3,0.2万亿,32
城市基建,工程咨询,温,2.4,123亿,69
城市基建,工程机械,寒,0.6,198亿,42
城市基建,专业服务,寒,0.3,49亿,41
城市基建,轨交设备Ⅱ,寒,0.4,43亿,31
城市基建,房地产,寒,1.1,197亿,25
城市基建,贸易,寒,-0.6,14亿,20
城市基建,公用事业,寒,-0.7,225亿,11
城市基建,基建,寒,-0.4,99亿,7
城市基建,钢铁,寒,-1.8,88亿,3
城市基建,装修建材Ⅱ,寒,-0.2,127亿,1
城市基建,种植业,寒,-0.2,33亿,0
生活服务,社会服务,凉,-0.6,107亿,6
生活服务,旅游,凉,-1.9,46亿,4
