group,name,ref_temperature,ref_rs,_sid,temperature,temperature_score,rs_score,lv_diff,rs_diff
传统能源,石油能源,平,96,SW_801960,凉,-23.975753370590443,73,1,-23
传统能源,煤炭能源,平,92,SW_801950,平,-6.578279239115814,99,0,7
农业基础,养殖业,平,89,SW_801017,平,-10.34691821950859,85,0,-4
农业基础,饲料,平,86,SW_801014,平,-16.76098326427897,80,0,-6
生命健康,中药,平,100,SW_801155,平,-4.005979761909547,94,0,-6
生命健康,医疗服务,温,99,SW_801156,热,34.64132870204423,99,1,0
生命健康,化学制药,温,97,SW_801151,温,9.712448645288246,90,0,-7
生命健康,医药商业,平,87,SW_801154,凉,-24.16042720527533,75,1,-12
生命健康,生物制品,平,80,SW_801152,平,-13.45496054276247,79,0,-1
生命健康,医疗器械,平,70,SW_801153,凉,-25.33272659110024,73,1,3
生命健康,动物保健,凉,52,SW_801018,凉,-27.186992993242633,54,0,2
民生消费,证券保险,温,94,SW_801790,温,3.8064796840459207,89,0,-5
民生消费,银行,温,93,SW_801780,平,-6.01456929797738,96,1,3
民生消费,白酒,平,90,SW_801125,平,-12.955772973231236,89,0,-1
民生消费,交通运输,平,84,SW_801170,凉,-23.24196032722147,66,1,-18
民生消费,电力,平,82,SW_801161,凉,-22.395843720058703,86,1,4
民生消费,食品加工,平,79,SW_801124,凉,-25.558267676138044,76,1,-3
民生消费,家用电器,平,78,SW_801110,平,-18.451102637411175,76,0,-2
民生消费,通信服务,平,75,SW_801223,凉,-27.62366916390468,70,1,-5
民生消费,汽车,平,69,SW_801880,凉,-31.142566444072024,34,1,-35
数字科技,计算机设备,凉,73,SW_801101,凉,-20.03038778262773,81,0,8
数字科技,IT服务,凉,62,SW_801103,凉,-31.294127165937237,46,0,-16
数字科技,软件开发,凉,59,SW_801104,凉,-31.107138022317727,55,0,-4
硬科技,半导体,平,76,SW_801081,温,15.752283466443606,97,1,21
硬科技,通信设备,平,65,SW_801102,平,-8.872050731954564,93,0,28
硬科技,电子元件,平,63,SW_801083,平,-7.9322094055923325,82,0,19
硬科技,消费电子,凉,56,SW_801085,凉,-27.70469744923515,38,0,-18
硬科技,电子化学品,平,46,SW_801086,平,-9.352077663403797,51,0,5
硬科技,其他电子,凉,27,SW_801082,凉,-21.35862851059141,8,0,-19
基础资源,金属,凉,54,SW_801050,凉,-34.72168056728634,11,0,-43
数字娱乐,游戏,凉,66,SW_801764,凉,-28.089469883764163,71,0,5
数字娱乐,传媒电影,凉,42,SW_801766,凉,-30.284505628098387,62,0,20
数字娱乐,互联网电商,凉,35,SW_801206,凉,-29.649417189009345,52,0,17
生活服务,旅游,凉,58,SW_801993,凉,-31.276280166949473,39,0,-19
生活服务,社会服务,凉,38,SW_801210,凉,-33.78395482195573,8,0,-30
日用消费品,饮料乳品,平,83,SW_801127,平,-9.11239086156284,95,0,12
日用消费品,美容护理,平,72,SW_801980,凉,-27.253667306320636,60,1,-12
日用消费品,饰品消费,凉,49,SW_801133,凉,-29.91130142389313,44,0,-5
日用消费品,休闲食品,寒,25,SW_801128,凉,-30.135051907920353,42,1,17
日用消费品,服装纺织,寒,16,SW_801130,凉,-29.667206782577992,37,1,21
日用消费品,家居用品,寒,1,SW_801142,凉,-32.54109161557094,23,1,22
日用消费品,包装印刷,凉,0,SW_801141,凉,-35.38489839886434,17,0,17
农化加工,化学原料,凉,44,SW_801033,凉,-28.5798248226369,58,0,14
农化加工,农产品加工,凉,31,SW_801012,凉,-28.237101719928503,60,0,29
农化加工,化学制品,凉,22,SW_801034,凉,-28.708646209235788,28,0,6
工业装备,自动化设备,凉,45,SW_801078,凉,-20.639132324138153,27,0,-18
工业装备,专用设备,凉,37,SW_801074,凉,-32.69885407841063,16,0,-21
工业装备,通用设备,凉,34,SW_801072,凉,-23.661041720573984,19,0,-15
工业装备,汽车零部件,凉,20,SW_801093,凉,-32.568477356422605,20,0,0
工业装备,电机,凉,18,SW_801731,凉,-36.202840774549344,6,0,-12
城市基建,轨交设备,平,68,SW_801076,凉,-25.081228572709243,72,1,4
城市基建,基建,凉,61,SW_801723,凉,-28.12025111722648,67,0,6
城市基建,钢铁,凉,55,SW_801040,凉,-30.942266902808317,43,0,-12
城市基建,工程机械,凉,51,SW_801077,凉,-22.596018782736298,74,0,23
城市基建,贸易,凉,28,SW_801202,凉,-33.041442291303746,32,0,4
城市基建,专业服务,凉,14,SW_801218,凉,-33.157210305356514,19,0,5
城市基建,工程咨询,凉,13,SW_801726,凉,-22.74914436189129,22,0,9
城市基建,房地产,寒,11,SW_801180,凉,-29.194944248975716,47,1,36
城市基建,公用事业,寒,7,SW_801160,凉,-22.644510652898028,79,1,72
城市基建,种植业,寒,4,SW_801016,凉,-33.53626255863262,34,1,30
城市基建,装修建材,寒,3,SW_801713,凉,-33.67024904806404,21,1,18
新能源装备,电池,凉,41,SW_801737,凉,-31.702817235851096,33,0,-8
新能源装备,光伏设备,凉,10,SW_801735,凉,-38.73950206620317,7,0,-3
工业配套,综合企业,寒,48,SW_801231,凉,-29.800427722679043,24,1,-24
工业配套,光学光电子,凉,30,SW_801084,平,-16.04161715219275,30,1,0
工业配套,电网设备,凉,24,SW_801738,凉,-35.11961580798642,23,0,-1
工业配套,环保设备,凉,8,SW_801972,凉,-33.57324980619039,15,0,7
工业配套,风电设备,凉,6,SW_801736,凉,-38.4109409803891,3,0,-3
国防安全,军工电子,凉,32,SW_801745,凉,-34.63212775144919,10,0,-22
国防安全,军工,凉,17,SW_801740,凉,-34.55750318250165,1,0,-16
